nome_urna,numero_urna,ano,cargo,esfera,municipio_uf
Benedita da Silva,1377,2018,Deputada Federal,Estadual (RJ),
Benedita da Silva,13,2020,Prefeita,Municipal,Rio de Janeiro/RJ
Benedita da Silva,1377,2022,Deputada Federal,Estadual (RJ),
Dani Monteiro,50050,2018,Deputada Estadual,Estadual (RJ),
Dani Monteiro,50050,2022,Deputada Estadual,Estadual (RJ),
Elika Takimoto,13021,2018,Deputada Estadual,Estadual (RJ),
Elika Takimoto,13021,2020,Vereadora,Municipal,Rio de Janeiro/RJ
Elika Takimoto,13021,2022,Deputada Estadual,Estadual (RJ),
Joyce Trindade,55557,2024,Vereadora,Municipal,Rio de Janeiro/RJ
Marielle Franco,50777,2016,Vereadora,Municipal,Rio de Janeiro/RJ
Marina do MST,13713,2022,Deputada Estadual,Estadual (RJ),
Martha Rocha,12040,2018,Deputada Estadual,Estadual (RJ),
Martha Rocha,12,2020,Prefeita,Municipal,Rio de Janeiro/RJ
Martha Rocha,12040,2022,Deputada Estadual,Estadual (RJ),
Maíra do MST,13713,2024,Vereadora,Municipal,Rio de Janeiro/RJ
Mônica Benício,50123,2020,Vereadora,Municipal,Rio de Janeiro/RJ
Mônica Benício,50123,2024,Vereadora,Municipal,Rio de Janeiro/RJ
Mônica Francisco,50888,2018,Deputada Estadual,Estadual (RJ),
Mônica Francisco,50888,2022,Deputada Estadual,Estadual (RJ),
Mônica Francisco,13888,2024,Vereadora,Municipal,Rio de Janeiro/RJ
Renata Souza,50007,2018,Deputada Estadual,Estadual (RJ),
Renata Souza,50,2020,Prefeita,Municipal,Rio de Janeiro/RJ
Renata Souza,50007,2022,Deputada Estadual,Estadual (RJ),
Rosangela Zeidan,13103,2018,Deputada Estadual,Estadual (RJ),
Rosangela Zeidan,13103,2022,Deputada Estadual,Estadual (RJ),
Tainá de Paula,65013,2018,Deputada Estadual,Estadual (RJ),
Tainá de Paula,13777,2020,Vereadora,Municipal,Rio de Janeiro/RJ
Tainá de Paula,13777,2024,Vereadora,Municipal,Rio de Janeiro/RJ
Talíria Petrone,5077,2018,Deputada Federal,Estadual (RJ),
Talíria Petrone,5077,2022,Deputada Federal,Estadual (RJ),
Talíria Petrone,50,2024,Prefeita,Municipal,Niterói/RJ
Tatiana Roque,5010,2018,Deputada Federal,Estadual (RJ),
Tatiana Roque,4013,2022,Deputada Federal,Estadual (RJ),
Tatiana Roque,40123,2024,Vereadora,Municipal,Rio de Janeiro/RJ
Thaís Ferreira,50010,2018,Deputada Estadual,Estadual (RJ),
Thaís Ferreira,50010,2020,Vereadora,Municipal,Rio de Janeiro/RJ
Thaís Ferreira,50010,2024,Vereadora,Municipal,Rio de Janeiro/RJ
Verônica Lima,13580,2016,Vereadora,Municipal,Niterói/RJ
Verônica Lima,13580,2018,Deputada Federal,Estadual (RJ),
Verônica Lima,13580,2020,Vereadora,Municipal,Niterói/RJ
Verônica Lima,13580,2022,Deputada Estadual,Estadual (RJ),
